Source;Target;Type;
1;36;Undirected;
1;56;Undirected;
1;459;Undirected;
3;718;Undirected;
4;41;Undirected;
5;29;Undirected;
5;554;Undirected;
6;405;Undirected;
6;513;Undirected;
6;586;Undirected;
6;658;Undirected;
8;455;Undirected;
9;475;Undirected;
11;153;Undirected;
11;222;Undirected;
11;433;Undirected;
11;458;Undirected;
11;535;Undirected;
11;760;Undirected;
12;227;Undirected;
12;817;Undirected;
12;883;Undirected;
14;613;Undirected;
14;623;Undirected;
14;846;Undirected;
15;23;Undirected;
15;235;Undirected;
15;372;Undirected;
15;703;Undirected;
16;334;Undirected;
16;765;Undirected;
16;987;Undirected;
17;50;Undirected;
17;941;Undirected;
18;395;Undirected;
18;538;Undirected;
18;898;Undirected;
19;38;Undirected;
19;886;Undirected;
20;332;Undirected;
20;461;Undirected;
20;639;Undirected;
20;777;Undirected;
21;816;Undirected;
22;63;Undirected;
22;270;Undirected;
22;420;Undirected;
23;25;Undirected;
23;648;Undirected;
24;222;Undirected;
24;869;Undirected;
25;648;Undirected;
25;861;Undirected;
26;463;Undirected;
26;471;Undirected;
26;522;Undirected;
26;887;Undirected;
27;151;Undirected;
27;395;Undirected;
27;460;Undirected;
28;871;Undirected;
29;456;Undirected;
29;767;Undirected;
31;745;Undirected;
31;939;Undirected;
32;63;Undirected;
32;450;Undirected;
32;513;Undirected;
32;572;Undirected;
32;982;Undirected;
34;156;Undirected;
34;545;Undirected;
34;820;Undirected;
35;251;Undirected;
35;557;Undirected;
36;960;Undirected;
37;115;Undirected;
37;912;Undirected;
38;134;Undirected;
38;506;Undirected;
39;322;Undirected;
39;388;Undirected;
39;463;Undirected;
39;594;Undirected;
39;685;Undirected;
39;942;Undirected;
40;150;Undirected;
40;405;Undirected;
41;226;Undirected;
41;271;Undirected;
41;351;Undirected;
41;857;Undirected;
42;304;Undirected;
42;701;Undirected;
44;925;Undirected;
46;620;Undirected;
47;290;Undirected;
47;394;Undirected;
48;422;Undirected;
49;454;Undirected;
49;532;Undirected;
51;157;Undirected;
52;353;Undirected;
52;653;Undirected;
53;334;Undirected;
53;678;Undirected;
55;562;Undirected;
57;264;Undirected;
57;355;Undirected;
57;964;Undirected;
58;362;Undirected;
58;499;Undirected;
58;782;Undirected;
59;966;Undirected;
61;104;Undirected;
62;954;Undirected;
64;252;Undirected;
64;568;Undirected;
65;512;Undirected;
65;982;Undirected;
66;192;Undirected;
66;354;Undirected;
66;419;Undirected;
66;437;Undirected;
67;204;Undirected;
67;365;Undirected;
67;373;Undirected;
68;133;Undirected;
68;208;Undirected;
68;233;Undirected;
68;465;Undirected;
68;497;Undirected;
68;630;Undirected;
68;830;Undirected;
68;978;Undirected;
69;580;Undirected;
69;687;Undirected;
69;847;Undirected;
70;597;Undirected;
70;634;Undirected;
70;698;Undirected;
70;853;Undirected;
70;988;Undirected;
71;227;Undirected;
71;781;Undirected;
72;677;Undirected;
73;428;Undirected;
73;669;Undirected;
75;148;Undirected;
75;952;Undirected;
77;218;Undirected;
77;535;Undirected;
77;601;Undirected;
77;967;Undirected;
78;185;Undirected;
78;332;Undirected;
79;390;Undirected;
79;498;Undirected;
81;242;Undirected;
81;335;Undirected;
81;391;Undirected;
81;413;Undirected;
81;587;Undirected;
81;745;Undirected;
82;145;Undirected;
82;173;Undirected;
83;247;Undirected;
83;678;Undirected;
86;309;Undirected;
86;337;Undirected;
87;349;Undirected;
87;561;Undirected;
87;960;Undirected;
88;803;Undirected;
89;733;Undirected;
90;998;Undirected;
91;299;Undirected;
92;964;Undirected;
93;274;Undirected;
93;970;Undirected;
94;364;Undirected;
95;140;Undirected;
95;614;Undirected;
95;859;Undirected;
96;186;Undirected;
99;643;Undirected;
100;883;Undirected;
101;138;Undirected;
101;249;Undirected;
101;828;Undirected;
102;372;Undirected;
102;473;Undirected;
103;104;Undirected;
103;631;Undirected;
104;297;Undirected;
105;162;Undirected;
106;424;Undirected;
107;133;Undirected;
107;985;Undirected;
108;225;Undirected;
108;906;Undirected;
109;124;Undirected;
109;342;Undirected;
110;226;Undirected;
110;301;Undirected;
110;307;Undirected;
110;722;Undirected;
110;894;Undirected;
111;710;Undirected;
112;270;Undirected;
112;469;Undirected;
113;534;Undirected;
113;765;Undirected;
113;788;Undirected;
113;794;Undirected;
115;652;Undirected;
116;330;Undirected;
116;818;Undirected;
117;795;Undirected;
118;330;Undirected;
118;590;Undirected;
118;600;Undirected;
118;682;Undirected;
118;891;Undirected;
120;339;Undirected;
120;462;Undirected;
120;787;Undirected;
120;796;Undirected;
