Source;Target;Type;
1;36;Undirected;
1;56;Undirected;
1;380;Undirected;
1;459;Undirected;
1;691;Undirected;
1;1941;Undirected;
1;2046;Undirected;
1;2345;Undirected;
1;2713;Undirected;
1;3032;Undirected;
1;3239;Undirected;
1;3816;Undirected;
1;4015;Undirected;
1;4135;Undirected;
1;4147;Undirected;
1;4540;Undirected;
2;301;Undirected;
2;387;Undirected;
2;495;Undirected;
2;546;Undirected;
2;568;Undirected;
2;640;Undirected;
2;666;Undirected;
2;2365;Undirected;
2;2422;Undirected;
2;2817;Undirected;
2;2845;Undirected;
2;3113;Undirected;
2;3433;Undirected;
2;4178;Undirected;
3;93;Undirected;
3;162;Undirected;
3;373;Undirected;
3;398;Undirected;
3;404;Undirected;
3;475;Undirected;
3;700;Undirected;
3;1155;Undirected;
3;1745;Undirected;
3;1811;Undirected;
3;1982;Undirected;
3;2460;Undirected;
3;2590;Undirected;
3;2756;Undirected;
3;3061;Undirected;
3;3475;Undirected;
3;3514;Undirected;
3;3524;Undirected;
3;3591;Undirected;
3;3740;Undirected;
3;3747;Undirected;
3;3909;Undirected;
3;4121;Undirected;
3;4258;Undirected;
3;4522;Undirected;
3;4589;Undirected;
4;208;Undirected;
4;639;Undirected;
4;861;Undirected;
4;907;Undirected;
4;1586;Undirected;
4;1798;Undirected;
4;2176;Undirected;
4;2234;Undirected;
4;2377;Undirected;
4;2637;Undirected;
4;2737;Undirected;
4;2806;Undirected;
4;2858;Undirected;
4;3126;Undirected;
4;3157;Undirected;
4;3614;Undirected;
4;3706;Undirected;
4;4132;Undirected;
4;4261;Undirected;
4;4439;Undirected;
4;4485;Undirected;
4;4577;Undirected;
5;256;Undirected;
5;600;Undirected;
5;825;Undirected;
5;1032;Undirected;
5;1182;Undirected;
5;1474;Undirected;
5;1576;Undirected;
5;1764;Undirected;
5;1966;Undirected;
5;2100;Undirected;
5;2387;Undirected;
5;2937;Undirected;
5;3584;Undirected;
5;3633;Undirected;
5;3748;Undirected;
5;4338;Undirected;
5;4551;Undirected;
5;4771;Undirected;
6;133;Undirected;
6;141;Undirected;
6;192;Undirected;
6;557;Undirected;
6;794;Undirected;
6;1038;Undirected;
6;1103;Undirected;
6;1815;Undirected;
6;2413;Undirected;
6;2486;Undirected;
6;3042;Undirected;
6;3353;Undirected;
6;3512;Undirected;
7;187;Undirected;
7;203;Undirected;
7;226;Undirected;
7;277;Undirected;
7;471;Undirected;
7;563;Undirected;
7;781;Undirected;
7;950;Undirected;
7;1013;Undirected;
7;1072;Undirected;
7;1482;Undirected;
7;2589;Undirected;
7;2831;Undirected;
7;2978;Undirected;
7;3253;Undirected;
7;3649;Undirected;
7;3955;Undirected;
7;4083;Undirected;
8;330;Undirected;
8;448;Undirected;
8;726;Undirected;
8;1245;Undirected;
8;1429;Undirected;
8;1581;Undirected;
8;1801;Undirected;
8;1846;Undirected;
8;1938;Undirected;
8;2053;Undirected;
8;2118;Undirected;
8;2578;Undirected;
8;2644;Undirected;
8;2719;Undirected;
8;2850;Undirected;
8;2941;Undirected;
8;3198;Undirected;
8;3366;Undirected;
8;3555;Undirected;
8;3621;Undirected;
8;4306;Undirected;
8;4401;Undirected;
8;4446;Undirected;
8;4526;Undirected;
8;4633;Undirected;
9;41;Undirected;
9;306;Undirected;
9;446;Undirected;
9;843;Undirected;
9;1004;Undirected;
9;1150;Undirected;
9;1320;Undirected;
9;2201;Undirected;
9;2417;Undirected;
9;2421;Undirected;
9;2980;Undirected;
9;3441;Undirected;
9;4088;Undirected;
9;4584;Undirected;
9;4618;Undirected;
10;132;Undirected;
10;214;Undirected;
10;217;Undirected;
10;321;Undirected;
10;757;Undirected;
10;861;Undirected;
10;1301;Undirected;
10;2127;Undirected;
10;2284;Undirected;
10;2362;Undirected;
10;3509;Undirected;
10;3619;Undirected;
10;3886;Undirected;
10;4045;Undirected;
10;4673;Undirected;
11;41;Undirected;
11;341;Undirected;
11;969;Undirected;
11;1313;Undirected;
11;2374;Undirected;
11;3088;Undirected;
11;3674;Undirected;
11;3970;Undirected;
11;4062;Undirected;
11;4179;Undirected;
11;4666;Undirected;
11;4677;Undirected;
11;4768;Undirected;
12;123;Undirected;
12;389;Undirected;
12;619;Undirected;
12;629;Undirected;
12;729;Undirected;
12;808;Undirected;
12;866;Undirected;
12;947;Undirected;
12;1015;Undirected;
12;1149;Undirected;
12;1804;Undirected;
12;2274;Undirected;
12;2499;Undirected;
12;3125;Undirected;
12;3280;Undirected;
12;3291;Undirected;
12;3569;Undirected;
12;3789;Undirected;
