Source;Target;Type;
1;17;Undirected;
1;36;Undirected;
1;56;Undirected;
1;60;Undirected;
1;100;Undirected;
1;231;Undirected;
1;328;Undirected;
1;380;Undirected;
1;449;Undirected;
1;459;Undirected;
1;534;Undirected;
1;629;Undirected;
1;691;Undirected;
1;855;Undirected;
1;866;Undirected;
2;351;Undirected;
2;510;Undirected;
2;718;Undirected;
2;773;Undirected;
2;836;Undirected;
2;886;Undirected;
2;915;Undirected;
2;935;Undirected;
2;943;Undirected;
2;955;Undirected;
2;966;Undirected;
3;24;Undirected;
3;51;Undirected;
3;109;Undirected;
3;263;Undirected;
3;276;Undirected;
3;350;Undirected;
3;366;Undirected;
3;432;Undirected;
3;476;Undirected;
3;504;Undirected;
3;585;Undirected;
3;696;Undirected;
3;702;Undirected;
3;718;Undirected;
3;786;Undirected;
3;842;Undirected;
4;41;Undirected;
4;191;Undirected;
4;248;Undirected;
4;440;Undirected;
4;512;Undirected;
4;557;Undirected;
4;634;Undirected;
4;680;Undirected;
4;709;Undirected;
4;739;Undirected;
4;799;Undirected;
4;813;Undirected;
4;825;Undirected;
4;952;Undirected;
5;27;Undirected;
5;29;Undirected;
5;149;Undirected;
5;161;Undirected;
5;358;Undirected;
5;467;Undirected;
5;498;Undirected;
5;525;Undirected;
5;554;Undirected;
5;605;Undirected;
5;669;Undirected;
6;43;Undirected;
6;173;Undirected;
6;280;Undirected;
6;319;Undirected;
6;350;Undirected;
6;355;Undirected;
6;405;Undirected;
6;411;Undirected;
6;460;Undirected;
6;513;Undirected;
6;528;Undirected;
6;557;Undirected;
6;564;Undirected;
6;586;Undirected;
6;589;Undirected;
6;658;Undirected;
6;684;Undirected;
6;864;Undirected;
6;933;Undirected;
6;993;Undirected;
6;994;Undirected;
6;996;Undirected;
7;99;Undirected;
7;189;Undirected;
7;237;Undirected;
7;263;Undirected;
7;417;Undirected;
7;638;Undirected;
7;824;Undirected;
8;86;Undirected;
8;92;Undirected;
8;140;Undirected;
8;252;Undirected;
8;344;Undirected;
8;398;Undirected;
8;429;Undirected;
8;455;Undirected;
8;645;Undirected;
8;682;Undirected;
8;761;Undirected;
8;792;Undirected;
8;833;Undirected;
8;850;Undirected;
8;854;Undirected;
8;878;Undirected;
9;81;Undirected;
9;155;Undirected;
9;173;Undirected;
9;391;Undirected;
9;404;Undirected;
9;475;Undirected;
9;481;Undirected;
9;499;Undirected;
9;611;Undirected;
9;748;Undirected;
9;802;Undirected;
9;932;Undirected;
10;134;Undirected;
10;171;Undirected;
10;178;Undirected;
10;230;Undirected;
10;269;Undirected;
10;312;Undirected;
10;431;Undirected;
10;562;Undirected;
10;578;Undirected;
10;612;Undirected;
10;670;Undirected;
10;905;Undirected;
11;22;Undirected;
11;42;Undirected;
11;85;Undirected;
11;153;Undirected;
11;222;Undirected;
11;433;Undirected;
11;458;Undirected;
11;463;Undirected;
11;464;Undirected;
11;529;Undirected;
11;535;Undirected;
11;598;Undirected;
11;620;Undirected;
11;760;Undirected;
11;975;Undirected;
11;994;Undirected;
12;36;Undirected;
12;58;Undirected;
12;111;Undirected;
12;136;Undirected;
12;152;Undirected;
12;227;Undirected;
12;283;Undirected;
12;337;Undirected;
12;417;Undirected;
12;499;Undirected;
12;817;Undirected;
12;860;Undirected;
12;883;Undirected;
12;956;Undirected;
12;961;Undirected;
12;963;Undirected;
13;67;Undirected;
13;256;Undirected;
13;329;Undirected;
13;357;Undirected;
13;367;Undirected;
13;392;Undirected;
13;398;Undirected;
13;405;Undirected;
13;436;Undirected;
13;545;Undirected;
13;637;Undirected;
13;645;Undirected;
13;675;Undirected;
13;841;Undirected;
13;904;Undirected;
14;120;Undirected;
14;149;Undirected;
14;160;Undirected;
14;182;Undirected;
14;221;Undirected;
14;360;Undirected;
14;496;Undirected;
14;564;Undirected;
14;574;Undirected;
14;613;Undirected;
14;623;Undirected;
14;672;Undirected;
14;690;Undirected;
14;744;Undirected;
14;839;Undirected;
14;846;Undirected;
14;851;Undirected;
14;997;Undirected;
15;23;Undirected;
15;79;Undirected;
15;109;Undirected;
15;175;Undirected;
15;179;Undirected;
15;235;Undirected;
15;242;Undirected;
15;333;Undirected;
15;372;Undirected;
15;474;Undirected;
15;636;Undirected;
15;695;Undirected;
15;703;Undirected;
15;851;Undirected;
16;218;Undirected;
16;257;Undirected;
16;319;Undirected;
16;334;Undirected;
16;758;Undirected;
16;765;Undirected;
16;987;Undirected;
17;50;Undirected;
17;112;Undirected;
17;322;Undirected;
17;335;Undirected;
17;383;Undirected;
17;397;Undirected;
17;680;Undirected;
17;715;Undirected;
17;727;Undirected;
17;729;Undirected;
17;742;Undirected;
17;843;Undirected;
17;848;Undirected;
17;894;Undirected;
17;941;Undirected;
18;26;Undirected;
18;123;Undirected;
18;200;Undirected;
18;209;Undirected;
18;219;Undirected;
18;224;Undirected;
18;337;Undirected;
18;348;Undirected;
18;395;Undirected;
18;406;Undirected;
18;451;Undirected;
18;457;Undirected;
18;486;Undirected;
18;538;Undirected;
18;574;Undirected;
18;748;Undirected;
18;775;Undirected;
18;798;Undirected;
18;898;Undirected;
18;966;Undirected;
18;967;Undirected;
19;38;Undirected;
19;153;Undirected;
19;306;Undirected;
19;337;Undirected;
19;383;Undirected;
19;559;Undirected;
19;603;Undirected;
19;611;Undirected;
19;794;Undirected;
19;836;Undirected;
19;886;Undirected;
20;74;Undirected;
20;89;Undirected;
20;92;Undirected;
20;119;Undirected;
20;287;Undirected;
20;332;Undirected;
20;390;Undirected;
20;461;Undirected;
20;589;Undirected;
20;639;Undirected;
20;685;Undirected;
20;777;Undirected;
20;795;Undirected;
20;800;Undirected;
20;879;Undirected;
20;906;Undirected;
20;954;Undirected;
21;108;Undirected;
21;183;Undirected;
21;241;Undirected;
21;363;Undirected;
21;472;Undirected;
21;474;Undirected;
21;515;Undirected;
21;541;Undirected;
21;564;Undirected;
21;816;Undirected;
22;63;Undirected;
22;152;Undirected;
22;203;Undirected;
22;270;Undirected;
22;327;Undirected;
22;358;Undirected;
22;420;Undirected;
22;463;Undirected;
22;498;Undirected;
22;511;Undirected;
22;619;Undirected;
22;696;Undirected;
22;707;Undirected;
22;712;Undirected;
22;756;Undirected;
22;814;Undirected;
22;905;Undirected;
22;907;Undirected;
22;932;Undirected;
22;977;Undirected;
23;25;Undirected;
23;32;Undirected;
23;52;Undirected;
23;130;Undirected;
23;175;Undirected;
23;182;Undirected;
23;227;Undirected;
23;229;Undirected;
23;361;Undirected;
23;439;Undirected;
23;472;Undirected;
23;505;Undirected;
23;516;Undirected;
23;542;Undirected;
23;554;Undirected;
23;648;Undirected;
23;694;Undirected;
23;730;Undirected;
23;760;Undirected;
23;782;Undirected;
23;827;Undirected;
24;27;Undirected;
24;76;Undirected;
24;222;Undirected;
24;325;Undirected;
24;434;Undirected;
24;586;Undirected;
24;630;Undirected;
24;814;Undirected;
24;869;Undirected;
24;918;Undirected;
25;58;Undirected;
25;163;Undirected;
25;369;Undirected;
25;492;Undirected;
25;648;Undirected;
25;773;Undirected;
25;861;Undirected;
25;893;Undirected;
25;974;Undirected;
26;107;Undirected;
26;150;Undirected;
26;423;Undirected;
26;463;Undirected;
26;471;Undirected;
26;522;Undirected;
26;524;Undirected;
26;668;Undirected;
26;836;Undirected;
26;837;Undirected;
26;887;Undirected;
26;929;Undirected;
27;151;Undirected;
27;302;Undirected;
27;395;Undirected;
27;460;Undirected;
27;544;Undirected;
27;546;Undirected;
27;638;Undirected;
27;651;Undirected;
27;653;Undirected;
27;686;Undirected;
