Source;Target;Type;
1;56;Undirected;
4;41;Undirected;
6;405;Undirected;
6;513;Undirected;
6;586;Undirected;
6;658;Undirected;
8;455;Undirected;
11;433;Undirected;
16;334;Undirected;
16;765;Undirected;
17;50;Undirected;
17;941;Undirected;
20;332;Undirected;
20;777;Undirected;
21;816;Undirected;
22;63;Undirected;
23;648;Undirected;
25;648;Undirected;
34;545;Undirected;
35;251;Undirected;
40;150;Undirected;
41;857;Undirected;
46;620;Undirected;
47;290;Undirected;
48;422;Undirected;
49;454;Undirected;
53;334;Undirected;
53;678;Undirected;
55;562;Undirected;
57;355;Undirected;
58;499;Undirected;
61;104;Undirected;
66;192;Undirected;
66;437;Undirected;
68;133;Undirected;
68;208;Undirected;
68;233;Undirected;
68;497;Undirected;
68;830;Undirected;
69;580;Undirected;
70;597;Undirected;
70;853;Undirected;
73;669;Undirected;
77;601;Undirected;
81;242;Undirected;
82;173;Undirected;
86;309;Undirected;
87;349;Undirected;
87;561;Undirected;
88;803;Undirected;
89;733;Undirected;
90;998;Undirected;
94;364;Undirected;
95;140;Undirected;
95;859;Undirected;
101;138;Undirected;
101;828;Undirected;
103;104;Undirected;
110;722;Undirected;
110;894;Undirected;
112;270;Undirected;
113;534;Undirected;
113;765;Undirected;
113;788;Undirected;
113;794;Undirected;
118;330;Undirected;
118;590;Undirected;
120;796;Undirected;
123;366;Undirected;
125;439;Undirected;
125;939;Undirected;
134;837;Undirected;
138;789;Undirected;
143;500;Undirected;
146;246;Undirected;
146;248;Undirected;
148;171;Undirected;
151;528;Undirected;
152;495;Undirected;
153;810;Undirected;
154;783;Undirected;
156;635;Undirected;
161;781;Undirected;
162;404;Undirected;
165;614;Undirected;
169;394;Undirected;
179;302;Undirected;
179;597;Undirected;
180;324;Undirected;
180;372;Undirected;
182;251;Undirected;
183;683;Undirected;
183;746;Undirected;
185;718;Undirected;
188;953;Undirected;
188;985;Undirected;
189;659;Undirected;
191;904;Undirected;
192;909;Undirected;
193;234;Undirected;
193;909;Undirected;
197;658;Undirected;
202;492;Undirected;
205;907;Undirected;
206;675;Undirected;
209;322;Undirected;
209;463;Undirected;
210;946;Undirected;
212;938;Undirected;
217;963;Undirected;
225;280;Undirected;
225;757;Undirected;
228;271;Undirected;
228;974;Undirected;
231;585;Undirected;
232;607;Undirected;
235;338;Undirected;
237;477;Undirected;
238;312;Undirected;
238;663;Undirected;
238;823;Undirected;
241;273;Undirected;
241;422;Undirected;
244;687;Undirected;
246;516;Undirected;
246;768;Undirected;
246;893;Undirected;
250;821;Undirected;
250;884;Undirected;
251;936;Undirected;
260;910;Undirected;
261;563;Undirected;
264;265;Undirected;
272;762;Undirected;
273;861;Undirected;
275;719;Undirected;
275;961;Undirected;
279;605;Undirected;
283;802;Undirected;
284;586;Undirected;
295;912;Undirected;
296;330;Undirected;
296;631;Undirected;
296;680;Undirected;
296;936;Undirected;
297;842;Undirected;
299;474;Undirected;
299;826;Undirected;
306;907;Undirected;
306;941;Undirected;
309;650;Undirected;
311;730;Undirected;
318;731;Undirected;
322;610;Undirected;
325;929;Undirected;
326;457;Undirected;
333;414;Undirected;
333;512;Undirected;
335;601;Undirected;
337;843;Undirected;
338;345;Undirected;
342;487;Undirected;
343;907;Undirected;
345;732;Undirected;
346;689;Undirected;
350;971;Undirected;
351;750;Undirected;
351;968;Undirected;
355;990;Undirected;
356;396;Undirected;
361;561;Undirected;
363;705;Undirected;
364;437;Undirected;
367;565;Undirected;
373;515;Undirected;
374;571;Undirected;
376;529;Undirected;
378;876;Undirected;
385;864;Undirected;
389;989;Undirected;
390;532;Undirected;
393;613;Undirected;
394;552;Undirected;
396;977;Undirected;
398;847;Undirected;
402;713;Undirected;
404;485;Undirected;
406;549;Undirected;
