Source;Target;Type;
2;568;Undirected;
2;640;Undirected;
2;2422;Undirected;
7;3649;Undirected;
8;3366;Undirected;
9;4584;Undirected;
10;217;Undirected;
10;1301;Undirected;
11;969;Undirected;
11;4768;Undirected;
13;3072;Undirected;
14;2473;Undirected;
16;2057;Undirected;
22;195;Undirected;
22;1577;Undirected;
23;845;Undirected;
27;4895;Undirected;
29;302;Undirected;
31;1415;Undirected;
31;4525;Undirected;
33;2753;Undirected;
33;3595;Undirected;
33;3643;Undirected;
35;817;Undirected;
35;3198;Undirected;
35;4143;Undirected;
35;4818;Undirected;
38;2118;Undirected;
39;4090;Undirected;
40;4675;Undirected;
41;4650;Undirected;
42;4177;Undirected;
43;168;Undirected;
43;328;Undirected;
44;1125;Undirected;
44;1377;Undirected;
46;2453;Undirected;
51;3001;Undirected;
51;3050;Undirected;
51;4950;Undirected;
53;367;Undirected;
53;2186;Undirected;
55;3494;Undirected;
56;4917;Undirected;
57;1707;Undirected;
59;316;Undirected;
59;962;Undirected;
59;3570;Undirected;
60;3837;Undirected;
62;3198;Undirected;
63;2575;Undirected;
65;3820;Undirected;
66;139;Undirected;
67;2253;Undirected;
67;4310;Undirected;
67;4642;Undirected;
70;2898;Undirected;
71;1257;Undirected;
72;2977;Undirected;
73;924;Undirected;
74;2607;Undirected;
74;4663;Undirected;
76;3962;Undirected;
76;4779;Undirected;
77;3039;Undirected;
78;4606;Undirected;
79;1165;Undirected;
80;1790;Undirected;
80;2301;Undirected;
80;3300;Undirected;
80;4124;Undirected;
80;4823;Undirected;
81;377;Undirected;
82;2690;Undirected;
84;4428;Undirected;
87;4258;Undirected;
88;481;Undirected;
88;3393;Undirected;
88;3582;Undirected;
89;4167;Undirected;
91;361;Undirected;
92;3415;Undirected;
93;4143;Undirected;
94;3414;Undirected;
94;3735;Undirected;
94;4778;Undirected;
95;1547;Undirected;
95;2924;Undirected;
96;2073;Undirected;
96;3884;Undirected;
97;1038;Undirected;
97;4304;Undirected;
98;1952;Undirected;
101;949;Undirected;
101;2502;Undirected;
101;2850;Undirected;
102;3617;Undirected;
104;338;Undirected;
104;3226;Undirected;
104;4436;Undirected;
105;2579;Undirected;
106;287;Undirected;
108;313;Undirected;
108;4284;Undirected;
109;691;Undirected;
109;4062;Undirected;
109;4280;Undirected;
109;4398;Undirected;
112;836;Undirected;
112;1101;Undirected;
112;2276;Undirected;
112;2819;Undirected;
112;3232;Undirected;
113;1244;Undirected;
113;1732;Undirected;
113;3939;Undirected;
114;2574;Undirected;
115;1039;Undirected;
115;4358;Undirected;
119;2414;Undirected;
120;2037;Undirected;
120;3260;Undirected;
120;3430;Undirected;
122;3767;Undirected;
123;2852;Undirected;
123;3313;Undirected;
