Source;Target;Type;
2;568;Undirected;
2;640;Undirected;
2;2422;Undirected;
7;3649;Undirected;
10;1301;Undirected;
11;4768;Undirected;
13;3072;Undirected;
22;195;Undirected;
27;4895;Undirected;
33;3643;Undirected;
35;3198;Undirected;
35;4818;Undirected;
41;4650;Undirected;
42;4177;Undirected;
43;168;Undirected;
44;1377;Undirected;
51;3001;Undirected;
51;3050;Undirected;
53;367;Undirected;
55;3494;Undirected;
59;3570;Undirected;
65;3820;Undirected;
70;2898;Undirected;
71;1257;Undirected;
72;2977;Undirected;
74;2607;Undirected;
77;3039;Undirected;
78;4606;Undirected;
80;2301;Undirected;
80;3300;Undirected;
80;4124;Undirected;
87;4258;Undirected;
88;3582;Undirected;
89;4167;Undirected;
91;361;Undirected;
94;4778;Undirected;
95;1547;Undirected;
96;2073;Undirected;
96;3884;Undirected;
97;1038;Undirected;
101;949;Undirected;
101;2502;Undirected;
102;3617;Undirected;
104;3226;Undirected;
105;2579;Undirected;
109;4280;Undirected;
109;4398;Undirected;
112;3232;Undirected;
113;1244;Undirected;
113;3939;Undirected;
114;2574;Undirected;
115;4358;Undirected;
120;2037;Undirected;
120;3260;Undirected;
120;3430;Undirected;
123;3313;Undirected;
124;4106;Undirected;
126;1487;Undirected;
128;3981;Undirected;
129;1083;Undirected;
130;1104;Undirected;
130;1128;Undirected;
131;2075;Undirected;
133;814;Undirected;
134;1007;Undirected;
135;3108;Undirected;
137;419;Undirected;
142;3710;Undirected;
144;710;Undirected;
144;2484;Undirected;
145;3234;Undirected;
145;3710;Undirected;
147;3811;Undirected;
148;293;Undirected;
148;1479;Undirected;
148;2024;Undirected;
151;376;Undirected;
151;818;Undirected;
154;566;Undirected;
156;3040;Undirected;
158;2960;Undirected;
159;2201;Undirected;
161;4076;Undirected;
162;2034;Undirected;
162;4249;Undirected;
163;2425;Undirected;
163;3136;Undirected;
166;3509;Undirected;
167;1917;Undirected;
173;694;Undirected;
174;2398;Undirected;
176;357;Undirected;
176;4050;Undirected;
180;708;Undirected;
180;2178;Undirected;
181;3341;Undirected;
182;2761;Undirected;
182;3597;Undirected;
182;3920;Undirected;
183;3243;Undirected;
184;3658;Undirected;
187;2140;Undirected;
188;1105;Undirected;
188;3640;Undirected;
188;4638;Undirected;
190;1950;Undirected;
192;1127;Undirected;
200;3149;Undirected;
201;1884;Undirected;
202;2791;Undirected;
207;4718;Undirected;
211;2077;Undirected;
227;2847;Undirected;
228;1022;Undirected;
228;1721;Undirected;
229;4478;Undirected;
231;4120;Undirected;
232;621;Undirected;
233;1658;Undirected;
234;280;Undirected;
237;4945;Undirected;
238;2745;Undirected;
240;2773;Undirected;
245;1971;Undirected;
246;4301;Undirected;
248;2078;Undirected;
