Source;Target;Type;
1;2;Undirected;
1;3;Undirected;
1;4;Undirected;
2;3;Undirected;
2;4;Undirected;
3;4;Undirected;
5;1;Undirected;
5;2;Undirected;
5;3;Undirected;
6;1;Undirected;
6;2;Undirected;
6;3;Undirected;
7;1;Undirected;
7;2;Undirected;
7;3;Undirected;
8;2;Undirected;
8;3;Undirected;
8;5;Undirected;
9;1;Undirected;
9;2;Undirected;
9;3;Undirected;
10;1;Undirected;
10;2;Undirected;
10;3;Undirected;
11;1;Undirected;
11;2;Undirected;
11;3;Undirected;
12;2;Undirected;
12;3;Undirected;
12;4;Undirected;
13;1;Undirected;
13;2;Undirected;
13;3;Undirected;
14;2;Undirected;
14;3;Undirected;
14;4;Undirected;
15;2;Undirected;
15;3;Undirected;
15;12;Undirected;
16;3;Undirected;
16;10;Undirected;
16;14;Undirected;
17;2;Undirected;
17;3;Undirected;
17;8;Undirected;
18;2;Undirected;
18;3;Undirected;
18;10;Undirected;
19;2;Undirected;
19;4;Undirected;
19;5;Undirected;
20;3;Undirected;
20;1;Undirected;
20;2;Undirected;
21;1;Undirected;
21;2;Undirected;
21;4;Undirected;
22;2;Undirected;
22;12;Undirected;
22;13;Undirected;
23;1;Undirected;
23;2;Undirected;
23;3;Undirected;
24;1;Undirected;
24;2;Undirected;
24;4;Undirected;
25;1;Undirected;
25;2;Undirected;
25;5;Undirected;
26;2;Undirected;
26;3;Undirected;
26;5;Undirected;
27;3;Undirected;
27;1;Undirected;
27;3;Undirected;
28;1;Undirected;
28;3;Undirected;
28;4;Undirected;
29;2;Undirected;
29;3;Undirected;
29;4;Undirected;
30;1;Undirected;
30;2;Undirected;
30;3;Undirected;
31;2;Undirected;
31;3;Undirected;
31;1;Undirected;
32;1;Undirected;
32;2;Undirected;
32;11;Undirected;
33;2;Undirected;
33;3;Undirected;
33;4;Undirected;
34;2;Undirected;
34;3;Undirected;
34;27;Undirected;
35;1;Undirected;
35;12;Undirected;
35;13;Undirected;
36;2;Undirected;
36;3;Undirected;
36;4;Undirected;
37;1;Undirected;
37;2;Undirected;
37;14;Undirected;
38;1;Undirected;
38;3;Undirected;
38;5;Undirected;
39;1;Undirected;
39;2;Undirected;
39;3;Undirected;
40;2;Undirected;
40;15;Undirected;
40;1;Undirected;
41;1;Undirected;
41;2;Undirected;
41;3;Undirected;
42;1;Undirected;
42;2;Undirected;
42;3;Undirected;
43;1;Undirected;
43;2;Undirected;
43;3;Undirected;
44;1;Undirected;
44;2;Undirected;
44;23;Undirected;
45;1;Undirected;
45;2;Undirected;
45;3;Undirected;
46;2;Undirected;
46;9;Undirected;
46;21;Undirected;
47;1;Undirected;
47;2;Undirected;
47;3;Undirected;
48;5;Undirected;
48;8;Undirected;
48;22;Undirected;
49;1;Undirected;
49;2;Undirected;
49;5;Undirected;
50;1;Undirected;
50;2;Undirected;
50;5;Undirected;
51;1;Undirected;
51;2;Undirected;
51;3;Undirected;
52;1;Undirected;
52;2;Undirected;
52;3;Undirected;
53;2;Undirected;
53;3;Undirected;
53;9;Undirected;
54;2;Undirected;
54;3;Undirected;
54;9;Undirected;
55;1;Undirected;
55;3;Undirected;
55;28;Undirected;
56;1;Undirected;
56;2;Undirected;
56;3;Undirected;
57;1;Undirected;
57;2;Undirected;
57;3;Undirected;
58;2;Undirected;
58;4;Undirected;
58;5;Undirected;
59;1;Undirected;
59;12;Undirected;
59;32;Undirected;
60;3;Undirected;
60;4;Undirected;
60;8;Undirected;
61;1;Undirected;
61;3;Undirected;
