Source;Target;Type;
1;2;Undirected;
1;3;Undirected;
1;4;Undirected;
1;5;Undirected;
2;3;Undirected;
2;4;Undirected;
2;5;Undirected;
3;4;Undirected;
3;5;Undirected;
4;5;Undirected;
6;1;Undirected;
6;1;Undirected;
6;2;Undirected;
6;1;Undirected;
7;1;Undirected;
7;2;Undirected;
7;1;Undirected;
7;2;Undirected;
8;1;Undirected;
8;4;Undirected;
8;5;Undirected;
8;1;Undirected;
9;1;Undirected;
9;8;Undirected;
9;1;Undirected;
9;7;Undirected;
10;2;Undirected;
10;8;Undirected;
10;9;Undirected;
10;2;Undirected;
11;6;Undirected;
11;8;Undirected;
11;8;Undirected;
11;1;Undirected;
12;3;Undirected;
12;7;Undirected;
12;5;Undirected;
12;6;Undirected;
13;8;Undirected;
13;2;Undirected;
13;4;Undirected;
13;1;Undirected;
14;2;Undirected;
14;8;Undirected;
14;12;Undirected;
14;8;Undirected;
15;1;Undirected;
15;5;Undirected;
15;8;Undirected;
15;1;Undirected;
16;6;Undirected;
16;8;Undirected;
16;2;Undirected;
16;13;Undirected;
17;1;Undirected;
17;1;Undirected;
17;4;Undirected;
17;16;Undirected;
18;7;Undirected;
18;5;Undirected;
18;1;Undirected;
18;13;Undirected;
19;7;Undirected;
19;13;Undirected;
19;5;Undirected;
19;6;Undirected;
20;10;Undirected;
20;3;Undirected;
20;4;Undirected;
20;9;Undirected;
21;5;Undirected;
21;1;Undirected;
21;1;Undirected;
21;4;Undirected;
22;21;Undirected;
22;4;Undirected;
22;7;Undirected;
22;10;Undirected;
23;6;Undirected;
23;22;Undirected;
23;1;Undirected;
23;6;Undirected;
24;4;Undirected;
24;5;Undirected;
24;6;Undirected;
24;1;Undirected;
25;13;Undirected;
25;21;Undirected;
25;4;Undirected;
25;7;Undirected;
26;5;Undirected;
26;5;Undirected;
26;8;Undirected;
26;17;Undirected;
27;4;Undirected;
27;23;Undirected;
27;2;Undirected;
27;3;Undirected;
28;6;Undirected;
28;8;Undirected;
28;27;Undirected;
28;8;Undirected;
29;1;Undirected;
29;25;Undirected;
29;1;Undirected;
29;7;Undirected;
30;7;Undirected;
30;8;Undirected;
30;12;Undirected;
30;25;Undirected;
31;8;Undirected;
31;1;Undirected;
31;4;Undirected;
31;5;Undirected;
32;7;Undirected;
32;3;Undirected;
32;6;Undirected;
32;8;Undirected;
33;17;Undirected;
33;25;Undirected;
33;1;Undirected;
33;7;Undirected;
34;25;Undirected;
34;33;Undirected;
34;7;Undirected;
34;11;Undirected;
35;1;Undirected;
35;7;Undirected;
35;11;Undirected;
35;1;Undirected;
36;9;Undirected;
36;2;Undirected;
36;5;Undirected;
36;21;Undirected;
37;1;Undirected;
37;2;Undirected;
37;4;Undirected;
37;6;Undirected;
38;8;Undirected;
38;1;Undirected;
38;5;Undirected;
38;19;Undirected;
39;5;Undirected;
39;22;Undirected;
39;22;Undirected;
39;6;Undirected;
40;1;Undirected;
40;18;Undirected;
40;27;Undirected;
40;4;Undirected;
41;1;Undirected;
41;5;Undirected;
41;27;Undirected;
41;1;Undirected;
42;28;Undirected;
42;36;Undirected;
42;5;Undirected;
42;9;Undirected;
43;3;Undirected;
43;7;Undirected;
43;6;Undirected;
43;39;Undirected;
44;36;Undirected;
44;30;Undirected;
44;23;Undirected;
44;31;Undirected;
45;31;Undirected;
45;5;Undirected;
45;14;Undirected;
45;6;Undirected;
46;1;Undirected;
46;5;Undirected;
46;6;Undirected;
46;7;Undirected;
47;21;Undirected;
47;24;Undirected;
