Source;Target;Type;
1;2;Undirected;
1;3;Undirected;
1;4;Undirected;
1;5;Undirected;
2;3;Undirected;
2;4;Undirected;
2;5;Undirected;
3;4;Undirected;
3;5;Undirected;
4;5;Undirected;
6;4;Undirected;
6;2;Undirected;
6;4;Undirected;
6;2;Undirected;
7;3;Undirected;
7;5;Undirected;
7;3;Undirected;
7;1;Undirected;
8;2;Undirected;
8;3;Undirected;
8;4;Undirected;
8;2;Undirected;
9;7;Undirected;
9;3;Undirected;
9;8;Undirected;
9;4;Undirected;
10;3;Undirected;
10;2;Undirected;
10;3;Undirected;
10;4;Undirected;
11;8;Undirected;
11;4;Undirected;
11;9;Undirected;
11;1;Undirected;
12;4;Undirected;
12;6;Undirected;
12;6;Undirected;
12;10;Undirected;
13;7;Undirected;
13;3;Undirected;
13;3;Undirected;
13;4;Undirected;
14;7;Undirected;
14;3;Undirected;
14;10;Undirected;
14;3;Undirected;
15;2;Undirected;
15;4;Undirected;
15;3;Undirected;
15;5;Undirected;
16;3;Undirected;
16;8;Undirected;
16;3;Undirected;
16;8;Undirected;
17;4;Undirected;
17;5;Undirected;
17;6;Undirected;
17;8;Undirected;
18;2;Undirected;
18;12;Undirected;
18;1;Undirected;
18;7;Undirected;
19;1;Undirected;
19;13;Undirected;
19;8;Undirected;
19;8;Undirected;
20;8;Undirected;
20;15;Undirected;
20;13;Undirected;
20;1;Undirected;
21;5;Undirected;
21;5;Undirected;
21;18;Undirected;
21;9;Undirected;
22;6;Undirected;
22;12;Undirected;
22;5;Undirected;
22;8;Undirected;
23;7;Undirected;
23;4;Undirected;
23;7;Undirected;
23;3;Undirected;
24;19;Undirected;
24;20;Undirected;
24;23;Undirected;
24;1;Undirected;
25;4;Undirected;
25;6;Undirected;
25;16;Undirected;
25;22;Undirected;
26;3;Undirected;
26;8;Undirected;
26;15;Undirected;
26;10;Undirected;
27;3;Undirected;
27;21;Undirected;
27;2;Undirected;
27;7;Undirected;
28;8;Undirected;
28;3;Undirected;
28;27;Undirected;
28;15;Undirected;
29;8;Undirected;
29;4;Undirected;
29;9;Undirected;
29;13;Undirected;
30;1;Undirected;
30;3;Undirected;
30;23;Undirected;
30;3;Undirected;
31;7;Undirected;
31;7;Undirected;
31;21;Undirected;
31;23;Undirected;
32;1;Undirected;
32;29;Undirected;
32;5;Undirected;
32;8;Undirected;
33;15;Undirected;
33;30;Undirected;
33;5;Undirected;
33;16;Undirected;
34;19;Undirected;
34;33;Undirected;
34;12;Undirected;
34;4;Undirected;
35;19;Undirected;
35;31;Undirected;
35;32;Undirected;
35;31;Undirected;
36;15;Undirected;
36;23;Undirected;
36;3;Undirected;
36;34;Undirected;
37;4;Undirected;
37;3;Undirected;
37;5;Undirected;
37;33;Undirected;
38;3;Undirected;
38;14;Undirected;
38;27;Undirected;
38;4;Undirected;
39;4;Undirected;
39;12;Undirected;
39;1;Undirected;
39;29;Undirected;
40;9;Undirected;
40;28;Undirected;
40;4;Undirected;
40;2;Undirected;
41;1;Undirected;
41;3;Undirected;
41;34;Undirected;
41;39;Undirected;
42;4;Undirected;
42;33;Undirected;
42;5;Undirected;
42;32;Undirected;
43;16;Undirected;
43;32;Undirected;
43;2;Undirected;
43;10;Undirected;
44;32;Undirected;
44;1;Undirected;
44;6;Undirected;
44;1;Undirected;
45;3;Undirected;
45;41;Undirected;
45;42;Undirected;
45;2;Undirected;
46;3;Undirected;
46;15;Undirected;
46;28;Undirected;
46;23;Undirected;
47;42;Undirected;
47;23;Undirected;
