Source;Target;Weight;Type
0;1;1;Undirected
0;2;1;Undirected
0;3;1;Undirected
0;4;1;Undirected
0;5;1;Undirected
0;3077;1;Undirected
0;6;1;Undirected
0;7;1;Undirected
0;8;1;Undirected
0;9;1;Undirected
0;10;1;Undirected
0;3595;1;Undirected
0;12;1;Undirected
0;13;1;Undirected
0;526;1;Undirected
0;15;1;Undirected
0;16;1;Undirected
0;17;1;Undirected
0;4625;1;Undirected
0;20;1;Undirected
0;1044;1;Undirected
0;6165;1;Undirected
0;23;1;Undirected
0;4631;1;Undirected
0;4120;1;Undirected
0;25;1;Undirected
0;537;1;Undirected
0;26;1;Undirected
0;29;1;Undirected
0;1565;1;Undirected
0;1566;1;Undirected
0;3103;1;Undirected
0;545;1;Undirected
0;38;1;Undirected
0;41;1;Undirected
0;1578;1;Undirected
0;5163;1;Undirected
0;45;1;Undirected
0;2095;1;Undirected
0;48;1;Undirected
0;5168;1;Undirected
0;49;1;Undirected
0;1585;1;Undirected
0;2097;1;Undirected
0;50;1;Undirected
0;1075;1;Undirected
0;53;1;Undirected
0;54;1;Undirected
0;55;1;Undirected
0;2104;1;Undirected
0;2616;1;Undirected
0;3642;1;Undirected
0;571;1;Undirected
0;5181;1;Undirected
0;62;1;Undirected
0;63;1;Undirected
0;580;1;Undirected
0;3653;1;Undirected
0;5191;1;Undirected
0;76;1;Undirected
0;1101;1;Undirected
0;4173;1;Undirected
0;3151;1;Undirected
0;4175;1;Undirected
0;3157;1;Undirected
0;601;1;Undirected
0;90;1;Undirected
0;1626;1;Undirected
0;91;1;Undirected
0;5211;1;Undirected
0;1630;1;Undirected
0;2144;1;Undirected
0;3171;1;Undirected
0;612;1;Undirected
0;3172;1;Undirected
0;1637;1;Undirected
0;6246;1;Undirected
0;1639;1;Undirected
0;4715;1;Undirected
0;6251;1;Undirected
0;623;1;Undirected
0;116;1;Undirected
0;117;1;Undirected
0;1653;1;Undirected
0;3189;1;Undirected
0;1654;1;Undirected
0;119;1;Undirected
0;3192;1;Undirected
0;5242;1;Undirected
0;123;1;Undirected
0;1659;1;Undirected
0;6268;1;Undirected
0;4738;1;Undirected
0;133;1;Undirected
0;1158;1;Undirected
0;136;1;Undirected
0;4744;1;Undirected
0;140;1;Undirected
